DAY,NET_MINT,TOTAL_SUPPLY
2023-11-20 00:00:00.000,130901.204309,130901.204309
2023-11-21 00:00:00.000,102639.049483,233540.253792
2023-11-22 00:00:00.000,0,233540.253792
2023-11-23 00:00:00.000,0,233540.253792
2023-11-24 00:00:00.000,193.504331,233733.758123
2023-11-25 00:00:00.000,0,233733.758123
2023-11-26 00:00:00.000,0,233733.758123
2023-11-27 00:00:00.000,101908.76953,335642.527653
2023-11-28 00:00:00.000,3071.019897,338713.54755
2023-11-29 00:00:00.000,733.022848,339446.570398
2023-11-30 00:00:00.000,349.997002,339796.5674
2023-12-01 00:00:00.000,221319.68338947,561116.25078947
2023-12-02 00:00:00.000,0,561116.25078947
2023-12-03 00:00:00.000,0,561116.25078947
2023-12-04 00:00:00.000,5622.028029268,566738.278818738
2023-12-05 00:00:00.000,101728.321025,668466.599843738
2023-12-06 00:00:00.000,543870.403,1212337.00284374
2023-12-07 00:00:00.000,159960.71502719,1372297.71787093
2023-12-08 00:00:00.000,1655235.606234,3027533.32410493
2023-12-09 00:00:00.000,50.8965835,3027584.22068843
2023-12-10 00:00:00.000,573310.61294,3600894.83362843
2023-12-11 00:00:00.000,1344434.187736,4945329.02136443
2023-12-12 00:00:00.000,475382.4222254,5420711.44358983
2023-12-13 00:00:00.000,1609718.2018304,7030429.64542023
2023-12-14 00:00:00.000,5888945.3590513,12919375.0044715
2023-12-15 00:00:00.000,8615706.776031,21535081.7805025
2023-12-16 00:00:00.000,19.6921014,21535101.4726039
2023-12-17 00:00:00.000,3233542.6012167,24768644.0738206
2023-12-18 00:00:00.000,7835728.4152889,32604372.4891095
2023-12-19 00:00:00.000,4932243.9926468,37536616.4817563
2023-12-20 00:00:00.000,6567197.1402962,44103813.6220525
2023-12-21 00:00:00.000,5297891.1809816,49401704.8030341
2023-12-22 00:00:00.000,5598402.59439986,55000107.397434
2023-12-23 00:00:00.000,2139730.142179,57139837.539613
2023-12-24 00:00:00.000,1020329.3072,58160166.846813
2023-12-25 00:00:00.000,4999983.188906,63160150.035719
2023-12-26 00:00:00.000,504735.817593,63664885.853312
2023-12-27 00:00:00.000,7254953.8833653,70919839.7366773
2023-12-28 00:00:00.000,1947190.4157005,72867030.1523778
2023-12-29 00:00:00.000,5871110.98655159,78738141.1389294
2023-12-30 00:00:00.000,5771747.8882376,84509889.027167
2023-12-31 00:00:00.000,1396633.8316753,85906522.8588423
2024-01-01 00:00:00.000,5418177.589838,91324700.4486803
2024-01-02 00:00:00.000,9872970.2410667,101197670.689747
2024-01-03 00:00:00.000,2960041.36475741,104157712.054504
2024-01-04 00:00:00.000,1906706.881393,106064418.935897
2024-01-05 00:00:00.000,178927.4955889,106243346.431486
2024-01-06 00:00:00.000,1827767.251896,108071113.683382
2024-01-07 00:00:00.000,2001092.4067,110072206.090082
2024-01-08 00:00:00.000,2508362.7142898,112580568.804372
2024-01-09 00:00:00.000,4093968.86687516,116674537.671247
2024-01-10 00:00:00.000,296462.6174304,116971000.288678
2024-01-11 00:00:00.000,116.60642369,116971116.895101
2024-01-12 00:00:00.000,914938.1185,117886055.013601
2024-01-13 00:00:00.000,183777.064142,118069832.077743
2024-01-14 00:00:00.000,76166.16679,118145998.244533
2024-01-15 00:00:00.000,4345965.061008,122491963.305541
2024-01-16 00:00:00.000,1310796.95793799,123802760.263479
2024-01-17 00:00:00.000,1503946.7858,125306707.049279
2024-01-18 00:00:00.000,354420.994099,125661128.043378
2024-01-19 00:00:00.000,5323515.541731,130984643.585109
2024-01-20 00:00:00.000,0,130984643.585109
2024-01-21 00:00:00.000,85822.156,131070465.741109
2024-01-22 00:00:00.000,0,131070465.741109
2024-01-23 00:00:00.000,330308.7540376,131400774.495147
2024-01-24 00:00:00.000,116690.4381704,131517464.933317
2024-01-25 00:00:00.000,324173.37370618,131841638.307023
2024-01-26 00:00:00.000,2974.60973717,131844612.916761
2024-01-27 00:00:00.000,0,131844612.916761
2024-01-28 00:00:00.000,27.45116299,131844640.367924
2024-01-29 00:00:00.000,1521137.67868906,133365778.046613
2024-01-30 00:00:00.000,2225032.48426379,135590810.530877
2024-01-31 00:00:00.000,5022325.59423684,140613136.125113
2024-02-01 00:00:00.000,6320073.44069117,146933209.565805
2024-02-02 00:00:00.000,5667918.17312329,152601127.738928
2024-02-03 00:00:00.000,23827.0885945,152624954.827522
2024-02-04 00:00:00.000,2840919.0769,155465873.904422
2024-02-05 00:00:00.000,1012077.27834764,156477951.18277
2024-02-06 00:00:00.000,8434989.19045279,164912940.373223
2024-02-07 00:00:00.000,14545882.7898457,179458823.163068
2024-02-08 00:00:00.000,-186.35318367,179458636.809885
2024-02-09 00:00:00.000,20318011.1896762,199776647.999561
2024-02-10 00:00:00.000,9960460.582,209737108.581561
2024-02-11 00:00:00.000,0,209737108.581561
